Model,N,Total Bound,Random Baseline,P,Risk,Color,Crossing N
Gemma-2B,20251.0,31.902144080203065,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,20689.0,31.64367276331713,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,21136.0,31.388218275835023,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,21593.0,31.135293082834764,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,22059.0,30.885523490765358,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,22536.0,30.637924359998493,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,23023.0,30.393115215518737,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,23521.0,30.150681065955233,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,24029.0,29.911185297051325,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,24549.0,29.6737726040414,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,25079.0,29.439433049105592,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,25621.0,29.207347926253906,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,26175.0,28.977613850360942,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,26740.0,28.750710908174344,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,27318.0,28.525910113020107,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,27909.0,28.303312593553812,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,28512.0,28.08336658684006,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,29128.0,27.865768692052292,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,29758.0,27.65025122692015,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,30401.0,27.437231411923676,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,31058.0,27.22644282706998,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,31729.0,27.017956366760167,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,32415.0,26.811537192112784,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,33115.0,26.607552444687634,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,33831.0,26.405489789585754,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,34562.0,26.205706187950202,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,35309.0,26.00799323498801,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,36072.0,25.812419493725358,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,36852.0,25.61880009505509,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,37648.0,25.427445639140352,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,38462.0,25.237940145700126,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,39293.0,25.050583771614516,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,40142.0,24.865209361783673,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,41010.0,24.681669300975287,18.0,58184,6.362399101257324,#d62728,110751.14455112764
Gemma-2B,41896.0,24.50023695636534,18.0,58184,6.362399101257324,#d62728,110751.14455112764
