Model,alias_factor,alias_mode,N,Total Bound,Random Baseline,B,P,m_alias,R_hat_hG,eps_loss_hat,eta_hat,KL_M_Som_bits,t_proxy_risk,t_reconstruction_gap,t_mismatch,t_sparse_complexity,t_concentration,asymptotic_floor,top_k,alpha,delta,calibration_tokens,extrapolated,Crossing N
GPT-2 Small,32,token_hash,1376175.0,17.28576585729307,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,8.882211635058916,0.020967143221945327,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,1475012.0,16.98230387674436,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,8.579464312832478,0.02025248489967264,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,1580949.0,16.68918131040383,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,8.287032055311201,0.019562176080418218,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,1694494.0,16.406051082816102,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,8.004568604408533,0.0188953993953565,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,1816194.0,16.13257111556373,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,7.731732687307745,0.018251349243774508,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,1946634.0,15.868413868526092,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,7.468197535250975,0.01762925426290494,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,2086443.0,15.613259121580544,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,7.213643682239626,0.017028360328705007,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,2236293.0,15.366801660275074,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,6.96776663260711,0.0164479486557512,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
GPT-2 Small,32,token_hash,2396905.0,15.128745189304158,15.617036934287741,16.617036934287743,778095,786432,7.359102249145508,0.2158968448638916,0.04859999939799309,0.2532421946525574,7.359102249145508,0.2158968448638916,0.8075879850028133,6.730270788828578,0.015887321463367465,8.382587079012213,64,0.5,0.05,2240000,True,2084264.4976936432
Gemma-2B,1,token_hash,1008.0,61.927449621143865,17.96578428466209,18.96578428466209,16078,16384,6.473718643188477,0.4819447994232178,0.0009920635493472219,0.5532213449478149,6.473718643188477,0.4819447994232178,0.018815263273595634,54.06874538690707,0.8842255283515068,6.97447870588529,64,0.5,0.05,2240000,False,
