Model,patch_layer,patch_hook,target_layer,target_sort,horizon,perturbation,top_k,mean_kl_bits,std_kl_bits,mean_norm_l2,std_norm_l2,mean_cosine_distance,std_cosine_distance,mean_delta_norm,mean_relative_delta_norm,n_measurements,total_cached_tokens
Llama-3.1-8B,12,blocks.12.hook_resid_post,26,26,14,sae_over_feature_shuffle_ratio,64,0.7436670999244738,,0.8522786109277402,,0.8417583442140987,,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,28,28,16,feature_shuffled_matched_norm,64,11.322251925392756,0.31268925039047984,1.4728806718947396,0.029273907371247115,0.9413670083833119,0.00674190205602522,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,28,28,16,sae,64,9.164816084362212,0.25742712305948406,1.2840101737824698,0.024604746369104414,0.8426261988897172,0.0060115541751338125,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,28,28,16,sae_over_feature_shuffle_ratio,64,0.8094517013711735,,0.8717679566876905,,0.8951091246939167,,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,29,29,17,feature_shuffled_matched_norm,64,10.985601455446274,0.3195494791247083,1.486461120938498,0.028628546213463273,0.9462311485457042,0.006248873717564019,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,29,29,17,sae,64,9.557522092546735,0.2516096697738656,1.320549552402799,0.025117562027443422,0.8562226077866932,0.005459274665569187,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,29,29,17,sae_over_feature_shuffle_ratio,64,0.8700044445730782,,0.8883848583735925,,0.90487679369111,,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,30,30,18,feature_shuffled_matched_norm,64,11.535343987601143,0.3152924404960249,1.56520642553057,0.02483018970186719,0.9675707694083925,0.00554322413854268,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,30,30,18,sae,64,9.649466393485902,0.271386744937252,1.345500219435919,0.021144092894185628,0.8647900867083717,0.004257168938300904,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,30,30,18,sae_over_feature_shuffle_ratio,64,0.836513103021263,,0.8596311626946104,,0.8937745062690715,,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,final,9999,full,feature_shuffled_matched_norm,64,7.66675199024261,0.4375638272898025,,0.0,,0.0,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,final,9999,full,sae,64,7.648083543020581,0.49427034834885214,,0.0,,0.0,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,12,blocks.12.hook_resid_post,final,9999,full,sae_over_feature_shuffle_ratio,64,0.9975650122443261,,,,,,14.926148187546502,0.5769576657386053,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,16,16,0,feature_shuffled_matched_norm,64,0.8616089045055328,0.03596192920692034,0.5207888834060185,0.0075625194639762205,0.12091784758700265,0.004778833590779407,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,16,16,0,sae,64,1.1851139011837186,0.03873508286803011,0.5207612978087531,0.0075615759183009475,0.15657948738052732,0.004904846564572285,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,16,16,0,sae_over_feature_shuffle_ratio,64,1.3754661714688772,,0.9999470311326829,,1.2949245335173987,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,17,17,1,feature_shuffled_matched_norm,64,3.4514782390897234,0.10999219993148547,0.8032082546324957,0.011481436055133454,0.39851901975889054,0.011540764321880387,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,17,17,1,sae,64,3.04418136581542,0.07561638991793748,0.9687600580472795,0.016825834254102813,0.3781248525021568,0.008626065322105228,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,17,17,1,sae_over_feature_shuffle_ratio,64,0.8819934981303195,,1.2061131748335072,,0.9488251093534446,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,18,18,2,feature_shuffled_matched_norm,64,4.761040982745943,0.13198717551932784,1.012345778563666,0.012806019364177012,0.6014852438654218,0.009982107537018848,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,18,18,2,sae,64,5.199746018364316,0.16471617942747857,1.6285311135034712,0.028444541518212015,0.5502117200503274,0.009705340846963114,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,18,18,2,sae_over_feature_shuffle_ratio,64,1.092144771953916,,1.6086708197806285,,0.9147551426439208,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,20,20,4,feature_shuffled_matched_norm,64,6.629168593694294,0.18179749116718222,1.1990833869056097,0.016554962027539335,0.7523483775910877,0.007933621580683897,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,20,20,4,sae,64,4.751603716895694,0.14205542895250292,1.1838733449814811,0.038176388804674506,0.4891536505449386,0.01190296881852393,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,20,20,4,sae_over_feature_shuffle_ratio,64,0.7167721939392896,,0.9873152759097263,,0.6501690774041925,,16.043148827931237,0.5207864008252583,63,32256
Llama-3.1-8B,16,blocks.16.hook_resid_post,21,21,5,feature_shuffled_matched_norm,64,7.655768243093339,0.19560864681574072,1.2250022736806718,0.01980144349438197,0.7751380129465981,0.007967675048550095,16.043148827931237,0.5207864008252583,63,32256
