perturbation,random_repeat,target_layer,target_sort,horizon,kl_bits,norm_l2,cosine_distance,mean_delta_norm,relative_delta_norm,Model,patch_layer,patch_hook,batch_index,tokens_in_batch,total_cached_tokens,top_k
sae,-1,16,16,12,5.834267616271973,1.3174192905426025,0.764737606048584,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,17,17,13,6.41666316986084,1.3323529958724976,0.804779052734375,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,18,18,14,6.8211669921875,1.3783905506134033,0.7882422804832458,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,20,20,16,8.478123664855957,1.400772213935852,0.8235040903091431,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,21,21,17,9.421144485473633,1.3974096775054932,0.854832649230957,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,22,22,18,10.597928047180176,1.3863614797592163,0.8582243919372559,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,24,24,20,11.68458366394043,1.4173524379730225,0.8685506582260132,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,25,25,21,11.901168823242188,1.4216662645339966,0.8833335638046265,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,26,26,22,11.838225364685059,1.4274941682815552,0.9070448279380798,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,28,28,24,11.784746170043945,1.4219188690185547,0.940108060836792,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,29,29,25,11.936932563781738,1.4497401714324951,0.9806779026985168,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,30,30,26,12.577190399169922,1.4526793956756592,0.9761631488800049,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
sae,-1,final,9999,full,11.785332679748535,,,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
feature_shuffled_matched_norm,-1,4,4,0,1.0180703401565552,0.5348542332649231,0.13425785303115845,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
feature_shuffled_matched_norm,-1,5,5,1,3.6908857822418213,0.9378679990768433,0.4861607551574707,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
feature_shuffled_matched_norm,-1,6,6,2,4.546633720397949,1.0189318656921387,0.6059561371803284,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
feature_shuffled_matched_norm,-1,8,8,4,5.6789469718933105,1.1484458446502686,0.7736726999282837,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
feature_shuffled_matched_norm,-1,9,9,5,6.304020404815674,1.3001878261566162,0.8662002086639404,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
feature_shuffled_matched_norm,-1,10,10,6,6.36860990524292,1.3061503171920776,0.8928712606430054,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
feature_shuffled_matched_norm,-1,12,12,8,6.3665876388549805,1.248337745666504,0.8817083835601807,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
feature_shuffled_matched_norm,-1,13,13,9,6.507713317871094,1.2808345556259155,0.9100004434585571,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
feature_shuffled_matched_norm,-1,14,14,10,6.388265609741211,1.2099761962890625,0.900295615196228,12.963157653808594,0.5348777174949646,Llama-3.1-8B,4,blocks.4.hook_resid_post,2,512,32256,64
